@relation stock1

@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute PP numeric
@attribute R1 numeric
@attribute R2 numeric
@attribute R3 numeric
@attribute S1 numeric
@attribute S2 numeric
@attribute S3 numeric
@attribute CLASS {SELL,HOLD,BUY}

@data
815,810,815,75200,813.333333,816.666667,818.333333,821.666667,811.666667,808.333333,806.666667,HOLD
810,805,810,603400,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
815,805,810,620600,810,815,820,825,805,800,795,HOLD
810,805,810,665000,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,805,805,193200,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,618800,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,34200,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,810,23600,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
805,800,805,572600,803.333333,806.666667,808.333333,811.666667,801.666667,798.333333,796.666667,HOLD
810,800,805,5745400,805,810,815,820,800,795,790,HOLD
810,805,805,1824800,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,810,79400,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
805,805,805,35800,805,805,805,805,805,805,805,HOLD
810,805,805,21000,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,810,581000,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,805,805,700400,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,810,406000,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
815,805,805,306600,808.333333,811.666667,818.333333,821.666667,801.666667,798.333333,791.666667,HOLD
810,810,810,639200,810,810,810,810,810,810,810,HOLD
810,805,810,252600,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
815,810,810,205600,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
815,810,810,27800,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
810,810,810,8800,810,810,810,810,810,810,810,HOLD
815,810,810,9600,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
810,810,810,75400,810,810,810,810,810,810,810,HOLD
815,810,810,21600,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
815,810,810,924200,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
810,810,810,13000,810,810,810,810,810,810,810,HOLD
